machine_id,event_type,start_time,description
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-05-27 11:25:12.233632+00,State: IDLE → PRINTING
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-05-27 13:02:09.063528+00,State: PRINTING → FINISHED
51b05e66-1679-4776-afbc-d38ca8629dc8,machine_offline,2026-05-27 15:37:25.485293+00,CoreOne-5 went offline
51b05e66-1679-4776-afbc-d38ca8629dc8,machine_online,2026-05-27 15:38:37.250164+00,CoreOne-5 came back online
51b05e66-1679-4776-afbc-d38ca8629dc8,state_changed,2026-05-27 15:38:37.292467+00,State: UNKNOWN → IDLE
51b05e66-1679-4776-afbc-d38ca8629dc8,state_changed,2026-05-28 17:22:13.304781+00,State: IDLE → PRINTING
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-05-28 17:22:44.790243+00,State: FINISHED → STOPPED
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-05-28 17:23:15.842384+00,State: STOPPED → IDLE
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-05-28 18:21:50.472004+00,State: IDLE → PRINTING
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,state_changed,2026-05-28 18:23:22.812714+00,State: IDLE → PRINTING
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-05-28 19:57:50.060018+00,State: PRINTING → STOPPED
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-05-28 20:21:33.981166+00,State: STOPPED → IDLE
51b05e66-1679-4776-afbc-d38ca8629dc8,state_changed,2026-05-28 20:22:04.560175+00,State: PRINTING → FINISHED
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,state_changed,2026-05-28 20:23:05.864515+00,State: PRINTING → IDLE
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,machine_online,2026-06-01 19:15:59.962243+00,CoreOne-2 came back online
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,state_changed,2026-06-01 19:16:00.023952+00,State: UNKNOWN → IDLE
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-06-02 14:00:09.631727+00,State: IDLE → ATTENTION
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-06-02 14:00:40.308643+00,State: ATTENTION → PRINTING
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-06-02 14:17:06.061245+00,State: PRINTING → STOPPED
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-06-02 14:17:37.762943+00,State: STOPPED → IDLE
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-06-02 14:18:08.377744+00,State: IDLE → PRINTING
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-06-02 19:10:28.895257+00,State: PRINTING → FINISHED
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-06-03 11:19:22.353336+00,State: FINISHED → IDLE
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-06-03 11:22:27.860968+00,State: IDLE → PRINTING
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-06-03 11:28:36.140338+00,State: PRINTING → ATTENTION
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-06-03 11:34:43.275635+00,State: ATTENTION → PAUSED
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-06-03 11:36:15.180043+00,State: PAUSED → PRINTING
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-06-03 11:37:47.039519+00,State: PRINTING → ATTENTION
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-06-03 11:44:25.79006+00,State: ATTENTION → PAUSED
79ade4be-7076-4aec-bd6b-942bd3791cf0,state_changed,2026-06-03 11:44:56.15579+00,State: IDLE → ATTENTION
79ade4be-7076-4aec-bd6b-942bd3791cf0,state_changed,2026-06-03 11:45:26.831535+00,State: ATTENTION → PRINTING
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-06-03 11:45:57.833762+00,State: PAUSED → PRINTING
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-06-03 11:47:29.751024+00,State: PRINTING → ATTENTION
79ade4be-7076-4aec-bd6b-942bd3791cf0,state_changed,2026-06-03 12:07:28.712703+00,State: PRINTING → FINISHED
79ade4be-7076-4aec-bd6b-942bd3791cf0,state_changed,2026-06-03 12:39:40.051571+00,State: FINISHED → IDLE
79ade4be-7076-4aec-bd6b-942bd3791cf0,state_changed,2026-06-03 12:41:11.87658+00,State: IDLE → PRINTING
79ade4be-7076-4aec-bd6b-942bd3791cf0,state_changed,2026-06-03 12:52:28.561008+00,State: PRINTING → FINISHED
79ade4be-7076-4aec-bd6b-942bd3791cf0,state_changed,2026-06-03 13:03:11.721855+00,State: FINISHED → IDLE
79ade4be-7076-4aec-bd6b-942bd3791cf0,state_changed,2026-06-03 13:04:12.939238+00,State: IDLE → PRINTING
79ade4be-7076-4aec-bd6b-942bd3791cf0,state_changed,2026-06-03 13:15:28.890897+00,State: PRINTING → FINISHED
79ade4be-7076-4aec-bd6b-942bd3791cf0,state_changed,2026-06-03 13:36:24.419171+00,State: FINISHED → IDLE
51b05e66-1679-4776-afbc-d38ca8629dc8,state_changed,2026-06-03 13:36:55.245873+00,State: IDLE → PRINTING
51b05e66-1679-4776-afbc-d38ca8629dc8,state_changed,2026-06-03 13:48:41.962738+00,State: PRINTING → FINISHED
51b05e66-1679-4776-afbc-d38ca8629dc8,state_changed,2026-06-03 14:01:00.190184+00,State: FINISHED → IDLE
51b05e66-1679-4776-afbc-d38ca8629dc8,state_changed,2026-06-03 14:02:01.382388+00,State: IDLE → PRINTING
51b05e66-1679-4776-afbc-d38ca8629dc8,state_changed,2026-06-03 14:10:43.137426+00,State: PRINTING → FINISHED
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-06-03 14:31:12.682979+00,State: ATTENTION → PAUSED
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-06-03 14:32:45.472638+00,State: PAUSED → ATTENTION
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,state_changed,2026-06-03 14:34:47.371885+00,State: IDLE → BUSY
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-06-03 14:35:18.449646+00,State: ATTENTION → PAUSED
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,machine_offline,2026-06-03 14:36:06.697781+00,CoreOne-2 went offline
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,machine_online,2026-06-03 14:36:37.393308+00,CoreOne-2 came back online
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,state_changed,2026-06-03 14:36:37.433411+00,State: UNKNOWN → PRINTING
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,state_changed,2026-06-03 14:41:45.887752+00,State: PRINTING → IDLE
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,state_changed,2026-06-03 14:42:48.224602+00,State: IDLE → ATTENTION
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,state_changed,2026-06-03 14:43:18.933964+00,State: ATTENTION → IDLE
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,state_changed,2026-06-03 14:45:51.949785+00,State: IDLE → PRINTING
b4cc8da5-dd88-4492-8f9a-82b7f31fef1a,state_changed,2026-06-03 14:46:23.020346+00,State: PAUSED → IDLE
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,state_changed,2026-06-03 16:14:31.317235+00,State: PRINTING → FINISHED
51b05e66-1679-4776-afbc-d38ca8629dc8,state_changed,2026-06-03 16:23:13.431702+00,State: FINISHED → IDLE
51b05e66-1679-4776-afbc-d38ca8629dc8,state_changed,2026-06-03 16:23:44.070433+00,State: IDLE → PRINTING
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,state_changed,2026-06-03 16:29:20.763104+00,State: FINISHED → IDLE
51b05e66-1679-4776-afbc-d38ca8629dc8,state_changed,2026-06-03 16:39:08.760767+00,State: PRINTING → FINISHED
79ade4be-7076-4aec-bd6b-942bd3791cf0,state_changed,2026-06-08 08:29:50.142025+00,State: IDLE → BUSY
79ade4be-7076-4aec-bd6b-942bd3791cf0,state_changed,2026-06-08 08:33:26.595748+00,State: BUSY → IDLE
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,state_changed,2026-06-08 08:34:58.245092+00,State: IDLE → BUSY
c2416b33-cc2a-4f71-9bbf-3fa24d7702df,state_changed,2026-06-08 08:38:32.574904+00,State: BUSY → IDLE
